title   text
yksi-plussa-yksi=nolla#blue     All alone under a black painted sky. Inside of a building that's empty but full of memories. People lost love's lost. Mothership's gone. Despite my choices i feel like a huge black hole is consuming me day by day. But this is not misery nor depression. The difficulty of going back up to the skies is killing me. It's so hard to keep it stable. Sometimes it feels so unstable like a waiter trying to hold his tray full of glasses during an earthquake.And you... you are just a distant voice like a distress in my head. I think i have found the way to keep myself away forever. Might be for the best. Or the worst. Or even both. Who knows? Who cares anyway...
lennan-korkealla!!!#blue        "At last. The circle has been completed. The page has turned. The spirit has been reincarnated. The dream IS true and alive!I am one step away from my big step high up to the skies! Only some typical paperwork is missing and then i am gone...Hopefully you are a ghost anymore. There are almost no moments existing that i am thinking of you. As a matter of fact... there is somebodyelse who has taken your place. Yep. It happened. And despite the fact that i may fail with her... i don't mind!She does have the dilemma right through her head ""should i run to him? or not?"" Time will reveal the answer. I have completed all my moves that are denoting to her side. The ball of choice is right into her field at this time. Few days more remaining...For all of you reading this... YES dreams DO come true. YES you can forget someone who has hurt you in the past. YES the page CAN turn.Dedicated to the mothership who brought me into this world. Be blessed and kind wherever you are. Soon i shall be near you. And i know that you are watching me. And like an archangel keeping an eye on me. Love will find you...NEVER SAY DIE! LET'S FLY!!!"
mitä-vittua%3f!%3f!%3f#blue     "The title says it all... thought that I've seen it all... not yet! The agreement that was offered was terrible my decision was not to take it at all. I am absolutely sure that nobody believes me regarding my decision. I don't f... care. I prefer choosing something viable rather than selecting my own sentence to death...The good thing is that I am thinking of another girl that has the exact same name like me. It's a really long story that holds it's roots more than a decade ago but was hidden under the shadows. Who knows... maybe I am just wacko or this is a huge slap on my face to eventually move on emotionally and at least have a serious motivation out there. I am curious to see what shall happen now.So I am still trapped into this dump organizing the miracle that's about to come. No regrets. No sorrows. As Ragnar Lothbrok says; ""Don't waste your time looking back... You are not going that way..."" Totta kai..."
lennan-korkealla-part-ii#blue   Few days ago i had a hard but fantastic training in Spain regarding my profession. Everything ran smoothly and flawlessly all my paperwork is now current and i am just single-digit days away from my place up in the skies...Something unexpected happened during my trip by ship to my homeland... and it is called love...I met a girl onboard who showed lots of interest to me. Long talks during almost the entire night endless discussions about everything. She has the most close characteristics to my dream girl. Tall almost 1.70 natural blonde smiling all the time very dynamic and hard working. Eventually what happened was that she slept into my arms... the best 4 hours of my life. I don't really know what happened or how things went so fast there. I truly wished inside of me that these moments should never end. I smiled again after so many months.I am still trying to understand what is going on... All i know is that i want to be near her all the time make her smile and keep her into my arms sleeping like a baby. Seeing her face glowing and looking at me happy. Listening to all her feelings... I miss her so much...Yep. I am in love.Tomorrow I am planning to go near her hoping that she will steal some time for me (she is working 12 hours every day)...And then... fate?
"""monet-kysymykset         #blue"     "What's the dearest of our walkthrough into our lives? Many questions...Things with this new girl did not go that well. I am almost sure that something's seriously wrong with her. At first i thought that she is strange or unreal but as time passes by her behaviour is somewhat... random. Like a dice is falling and the number that comes is what she is doing eventually...We met in the morning had a quick coffee before her work. She was furious about it. I tried to calm her down and give her some advice how to deal with it. Then she told me ""I read all your feelings about it I am a very difficult person I am not ready for something more"". I told her ""I did not ask anything. It is enough for me to know that you are alright smiling and feeling well with me. I did not come to your life to make it more mess but being besides you"". After we left the place she told me that she is free at 03:00am ""We can meet again no problem"".After that she disappeared completely. Of course I never thought of the idea finding her at her workplace nor going near her house (I know both) that would be too lame. So I let it go...Next morning 3 messages on my cell phone. I told her briefly I am alright. She replied ""I am at work"". Again let it go...She called me after midnight. She told me ""Your words helped me i told them i won't work until 3am again"" i said ""I'm glad to hear that"".Then our conversation rotated regarding my work conditions and priviledges. I was shocked hearing that she didn't remember a thing. Then I told her ""It's no use to feel bad regarding the past. It's gone. Just learn the lessons from it and move on"". She also asked me when Am i leaving abroads. I told her ""end of this month"". ""Will I see you on Sunday?"" She said ""I don't know I am not sure"". She also told me that the night i was waiting for her she was wasting herself in an Internet Cafe listening to YTB and walking around. Then she said kisses and goodnight.Strange experience. I felt like I am lost in Japan or something. Well...Maybe i should write a song called ""Lost In Japan"" or something...Monday will be a tremendous day for me. I shall make a huge move to a girl that i like for more than two years. Also been in a huge relationship like me. I shall visit her after so long time.Overthinking is nothing. Execuring is everything. I hope it goes well. She made my day yesterday by calling me. Can't wait for the moment that i shall grab her and kiss her passionately. I've been waiting so long this moment to come.Future Memories are about to come..................."
turbulentti-virtaus#blue        "Back to the skies... The first part has been completed.Today it was the time of the revelations... When i was at my homeland i did not meet that girl at all. She disappeared completely from the radar. Despite the fact that i searched for her no reply. Just vanished...Until yesterday i was so sad and so desperate. But i had a hidden hope that she would appear back from the shadows. I was right. I got an SMS saying ""I miss you so much... i am in deep $h!t... I am writing to you during lecture... I hope you have a good time up there... many kisses....That was it. I sent her a message telling her that i need to speak to her. She called me after an hour. I confessed everything. All my feelings for her. That i am thinking of her during the last 2 years. How much i love her. A million things more regarding all what i feel about her in about half an hour call.She told me that she loves me. I heard her voice ""feminine"" for the first time in my life. It melted me down.I told her to remember everything. That i am alive for the moment to hug her again.I am so happy and simultaneously feeling so strange. Our story has been extremely strange. I also told her to come near me with all the expenses paid.I hope she shall do what we discussed and hug her the soonest possible.A big and difficult flying day is here to come. Miss her so much...So much turbulence. So much love. So many feelings.............."
pimeyden-pelko#blue     Today i completed one full month away from my birthplace and home... The most difficult side of this story is the fact that after I confessed all my feelings and love to her... now she is flying around the dark side of the moon disappearing from every possible radar...Of course this is not the first time that's happening... but now this kind of agony is agitating. I truly hope that she shall do what must be done by her side and be with her... this time for good.When I feel alone i have her photograph in my phone. This gives me strength and energy to go on and cope with it.Fear of the dark...
vapaa-tila#blue "I feel like a shade into the darkness...Some days ago i went to my homeplace... I thought the idea of doing a final attempt with the girl that i like for so many years ago. Although i sensed it that it would end to a kind of disaster at least i tried my very best....After my arrival i tried to reach her. She was completely vanished. Disappeared. Like a ghost. My calls and messages reached the absolute void.Well... the last thing remaining to do was to try my best so that i could ""accidentally"" meet her. I went to her university hoping that she had some lesson to do. Sat down listening to music. Tears were falling from my eyes. And......................She appeared in front of me. With her boyfriend. Vittu perkele paska ja saatana...................She kissed me twice on my cheeks and left. The kiss of Judas..........................Her boyfriend asked me why am i here. I told him some random bullshit regarding information. He told me to go at their place. At first i thought that i should stay at the uni hoping to find her alone and eventually find an end to this rope. But on the other hand i also thought it was a good idea to gather some extra info...Arrived at their place after some time. He told me by himself everything regarding their terrible financial situation that has been happening for many years. Then listening to random Irish music...And then she arrived. During our time there she told me that she received my photos (oh really??? - at least i found out that she has been reading all my emails...). Then random subjects...............Then she threw me the 1st bomb. She decided to continue her studies for 5 years at my homeplace (meaning that she shall continue her affair - in fact this flipped over what she told me during winter and spring; that she would like to end her current studies faster and move to the capital... 180 degrees turn///)...Then she told me to stand and watch her plants. At that point i wanted to slap her on the face just in case that her brain wakes up. But i said into myself ""leave it... it's not worth it""...She was sitting besides him almost all the time. At some time she touched him in front of me. I think the message was clear at that stage. Dead end.Then we had to go since she had to attend another lesson at the uni. He would also come and be present at her lesson (this proves once more that she is wearing her collar and he is taking her for a walk or smth...). We stayed at the stairs looking at each other while he was seeking his stuff at home. At that point... i wanted to slap her grab her and kiss her passionately. Again my logic point worked more comparing to my emotions. Right move.Then she told me that she will be free after the end of July (who cares...). She hugged me and kissed me again and both of them left...While walking to the bus station i was lost. Reached the shore and thinking this fucking void that i am thrown into... All my feelings were mixed. Anger sadness disappointment. I wanted to stay there and cry all night long. But i took many deep breaths and said into myself ""let it go"".Duty calls. Back to my cell.She is now hovering around the dark side of the moon. Until she shall appear again.Right now i don't know what to do. My logic says to leave and shut this door forever. My heart...... Still loves her. But i can't bear this shit anymore.Only time will tell..."
yksin#blue      A stormy night at the base. Too hot day for this place. Now a big storm is hovering over us and splashing everything making this night into daylight at times.I feel so alone. I am trying to take this situation in a balanced way erase everything that happened and start from scratch. I feel so hurt and so lonely despite the fact that I am back up to the skies...It is so hard to determine my current situation. Maybe I should be more patient and deal with this in a manlier manner. I feel so empty inside. I don't know what I should do.Let it roll. Tomorrow there's more duty to do. Nähdään...
takaisin...#blue        Back to my homeplace for a couple of days. Yesterday that girl contacted me to meet each other for a drink. I told her everything regarding my feelings for her face to face.. She told me that she feels nothing but it can change during the future. She also told me that she feels uncomfortable when I am hugging or touching her. I tried my very best not to hug her or kiss her this was so difficult to do. I really wanted to eat her at that point.Then left to the airport. Back to my shithole again. We shall see what future shall prevail. My mood is neutral now. Maybe I am too sad to have even any kind of feelings at the moment... Listening to Amorphis now. I hope that they are right this time...
samanlainen-tai-erilainen%3f#blue       "Same story... I am surrounded by so many people but still I feel so alone... Today everybody around me became drunk as f... - the result was that I became ""The Mother"" taking everybody to their rooms placing them on their beds to sleep... Eventually I do understand that their lives are so empty and meaningless after all... similar or different?Good question... and the story goes on..."
kaipaan-sinua-(part-i)#blue     "30 to go...Some days ago that previous story ended via sms messages. ""I am in love do not write me again not today and not in the future""It was a shocking experience but at least clarified and eventually thrown into the grave forever...There is another crazy story that is still running after 5-months' pause...One day before my trip to the skies i managed to arrange a date with a girl i met in November 2016 at a party. She was nice smiling and happy. After our date we exchanged some messages. She told me that I gave her positive feelings that she truly needed during that time. Of course she had to continue her studies in Physics also manage her examination semester during that time. Although it was hard I had to accept that I would be far away for so many months and she could not wait for me...Then I tried to approach her via messages during April and May... completely disappeared. At that point I felt it was over...One month ago she appeared suddenly out of nowhere. She called me from her phone and a friend of her spoke on her behalf asking me when i would be back to my home-place and similar stuff. I told her that I was pretty busy and I had a tough roster but I shall try my best soon when summer would reach to it's end...One week before my flight back I wrote to her ""I shall come this day and leave that day. You know where and how to find me"". She replied to me that she wanted to go altogether out with some friends of her that I also knew. I told her ""Good idea but I want to meet you in person without anyone else present"". She agreed and finalized a meeting via sms one day after my arrival...(2 be continued...)"
kaipaan-sinua-(part-ii)#blue    "... So the date was arranged at an amazing cafe that was themed similar to LOTR and to other fantasy stuff... I got her a gift from the skies plus a T-Shirt that had her favourite animal; cats...She appeared in front of me... she was so damn good looking. Her perfume was smelling mixed with her body smell after the gym. My senses and emotions tilted during that time. I can't describe this feeling with words. I wanted her to be mine... 5 months i was hiding in the shadows and nights like a panther. The right time was just there...She was telling me all her stories since the last time we met. Then some stuff regarding aviation. At some point words became more personal regarding what we want in our lives. Then i felt it was the right time to make my move. I told her that I want her to be with me. Straight and plain without side words or any kind of sauces or decorations. We were holding our hands most of the time. She agreed to be with me. Afterwards I saw some tears falling from her eyes. All feelings were mixed also all emotions. But i sensed something was still in the shadows. I tried to kiss her she avoided me. I was shocked. I tried to find an excuse for myself thinking that maybe it was too early for that move. Wish it was like that truly...After 3 hours she told me that she had an appointment with her sister and she left her stranded because of me. We left this place then walking on the street holding hands. During that time I told her that there are 41 days remaining until my operation would end. Then I told her that I would like the following one to do it together. She replied to me ""I don't know"". Of course I knew that it was too early for such kind of conversations. I clarified this thing to her immediately but this was to make her realize that she is somewhat a part of my life and plans too. My heart was a bit chilled at that moment. We agreed that she would call me whenever she could be available. I sent her a nice goodnight message. I got no reply. I thought she was asleep. But still some kind of cockroach was running inside of me. I felt there was something wrong. Time would be the best option to find out..."
vittun-paska#blue       "Fuck it. Today i got probably one of the craziest answers that i have ever read...""Probably my relationship shall be terminated immediately/has ended but it could have not ended. I shall take care from my side to be clear to myself and afterwards my favourite people... this doesn't mean that we will be together even if this that I have now shall come to end. We shall be ""side by side"" for as long as you like because I want that too.""... and then people still think I am the craziest one. Okay. I'm out.16 days remaining to end this fucking shit. What else?"
siivous#blue    10 days remaining for the finale regarding this phase. Next one shall be a good and proper rest followed by a general cleanup defragmentation and refinement of my life including a phone number change plus determining a clear plan for the future and clearing away unnecessary people and/or situations from this point and on. Effective date for this initiation shall be 26th of October to be finalized on November 11th.Definitely and precisely. End of message.
